title,product_price,original_price,price_w_discount,url
Global Play Tent House with Wheels (1-7 Years),"₹ 832.50
","MRP: ₹ 1,125
","
                              Best Price ₹ 749.25
                              ",https://snooplay.in/products/global-play-tent-house-with-wheels-1-7-years
"Football with Air Pump & Pin - Size 1 Mini, 12 Panel, PVC,  Red Animals Learning","₹ 349
","MRP: ₹ 599
","
                              Best Price ₹ 314.10
                              ",https://snooplay.in/products/football-with-air-pump-pin-size-1-mini-12-panel-pvc-red-animals-learning
Nippon Cricket Set with Bag (1.5-3 Years),"₹ 155
","MRP: ₹ 360
","
                              Best Price ₹ 139.50
                              ",https://snooplay.in/products/nippon-cricket-set-with-bag-1-5-3-years
Flexible Swing Seat with Metal Triangle Hook with 2 Meters Chain Set - Blue (3-10 Years),"₹ 3,499
","MRP: ₹ 6,999
","
                              Best Price ₹ 3,149.10
                              ",https://snooplay.in/products/flexible-swing-seat-with-metal-triangle-hook-with-2-meters-chain-set-blue-3-10-years
5 Column Geometric Shape Sorter Stacking Puzzle | 26 Pieces,"₹ 449
","MRP: ₹ 799
","
                              Best Price ₹ 404.10
                              ",https://snooplay.in/products/5-column-geometric-shape-sorter-stacking-puzzle-26-pieces
Color Sorting Slide Puzzle Game for Kids | 4 Colour Sorter,"₹ 649
","MRP: ₹ 1,399
","
                              Best Price ₹ 584.10
                              ",https://snooplay.in/products/slide-puzzle-brain-game-for-kids-4-colour-sorter
Zoo Little Kid Backpack-Shark,"₹ 2,159
","MRP: ₹ 2,399
","
                              Best Price ₹ 1,943.10
                              ",https://snooplay.in/products/zoo-little-kid-backpack-shark
Naturally Playful Picnic Table With Umbrella for Kids | COD Not Available,"₹ 26,999.10
","MRP: ₹ 29,999
","
                              Best Price ₹ 24,299.19
                              ",https://snooplay.in/products/naturally-playful-picnic-table-with-umbrella-cod-not-available
Remote Controlled Bike A512 - 360 Degree Rotation & Moving Forward (5-10 Years),"₹ 2,550
","MRP: ₹ 3,100
",,https://snooplay.in/products/remote-controlled-bike-a512-360-degree-rotation-moving-forward-5-10-years
Wooden Domino Toy - 100 Pieces (3-7 Years),"₹ 299
","MRP: ₹ 599
","
                              Best Price ₹ 269.10
                              ",https://snooplay.in/products/wooden-domino-toy-100-pieces-3-6-years
