title,product_price,original_price,price_w_discount,url
5 Column Geometric Shape Sorter Stacking Puzzle | 26 Pieces,449,799,404.10,https://snooplay.in/products/5-column-geometric-shape-sorter-stacking-puzzle-26-pieces
Zoo Little Kid Backpack-Shark,"2,159","2,399","1,943.10",https://snooplay.in/products/zoo-little-kid-backpack-shark
Naturally Playful Picnic Table With Umbrella for Kids | COD Not Available,"26,999.10","29,999","24,299.19",https://snooplay.in/products/naturally-playful-picnic-table-with-umbrella-cod-not-available
Remote Controlled Bike A512 - 360 Degree Rotation & Moving Forward (5-10 Years),"2,550","3,100",,https://snooplay.in/products/remote-controlled-bike-a512-360-degree-rotation-moving-forward-5-10-years
Color Sorting Slide Puzzle Game for Kids | 4 Colour Sorter,649,"1,399",584.10,https://snooplay.in/products/slide-puzzle-brain-game-for-kids-4-colour-sorter
KRT 1.6 Toy Car (Pull Back Car) - Assorted Colours,299,346,,https://snooplay.in/products/krt-creta-toy-car-pull-back-centy-toy-for-kids
Wooden Domino Toy - 100 Pieces (3-7 Years),299,599,269.10,https://snooplay.in/products/wooden-domino-toy-100-pieces-3-6-years
Saina Doll - 3.2 feet (3-7 Years),"2,699.10","3,200","2,429.19",https://snooplay.in/products/saina-doll-3-2-feet-3-7-years
Sweet Cuddles Musical Cot Hanging Rattles (0-12 Months),"1,035","1,150",931.50,https://snooplay.in/products/sweet-cuddles-musical-cot-hanging-rattles-0-12-months
2 in 1 Fashion Set with Suitcase Trolley (3-5 Years),"1,349.10","1,499","1,214.19",https://snooplay.in/products/2-in-1-fashion-set-with-suitcase-trolley-3-5-years
Squeezy Squeaky Baby Toy with Milk Bottle (6 Months - 2 Years),216,240,194.40,https://snooplay.in/products/squeezy-squeaky-baby-toy-with-milk-bottle-9-months-2-years
Little Doctor Set Suitcase Trolley (3-5 Years),"1,349.10","1,499","1,214.19",https://snooplay.in/products/little-doctor-set-suitcase-trolley-3-5-years
